ID DE SYSTÈME DE PROJET;NOM DU PROJET;PUISSANCE (KW);COMMUNE;LATITUDE;LONGITUDE;PERIMETRE;etat
212369000005873920;VALENSOLE_PAYAN 72.2;36;VALENSOLE;43.807075;5.995579;2;disponible
212369000005873874;VALENSOLE_PAYAN 72.1;36;VALENSOLE;43.807075;5.995579;2;disponible
212369000004500108;AUBAGNE_KARTING 1.1;250;AUBAGNE;43.28358752739147;5.52199;2;disponible
212369000004476343;VALENSOLE_MOUNIER 1;99;VALENSOLE;43.820946;5.960885;2;disponible
212369000002286863;REMOLLON_SUPER U (toiture);157.08;REMOLLON;44.46752049153979;6.179381692035906;2;disponible
212369000002285879;BARREME_FERAUD 1 (BE);99;Barrême;43.95631305170983;6.385018677054639;2;disponible
212369000000386353;PIERRELATTE_SCI CHRIODIE;84;PIERRELATTE;44.358558;4.708684;2;disponible
212369000000379843;PERNES LES FONTAINES_MP IMMO;99;Pernes-les-Fontaines;43.98458527225;5.044485964;2;disponible
212369000000380501;MONTBOUCHER SUR JABRON_SASU ANTHONY;230;MONTBOUCHER SUR JABRON;44.548019;4.795763;2;disponible
212369000000377331;BEDARRIDES_BUNEL RENO;267.52;Bédarrides;44.04692;4.900303;2;disponible
212369000000375163;SISTERON_ICKO;100;SISTERON;44.238088;5.907505;2;disponible
212369000000374949;VALENSOLE_PAYAN 100;99;VALENSOLE;43.807075;5.995579;2;disponible
212369000000374609;JARJAYES_MARCELLIN 2;100;Jarjayes;44.505031;6.109506;2;disponible
212369000000374093;SIGONCE_GASQUET;36;SIGONCE;43.997888;5.845059;2;disponible
212369000000372077;JARJAYES_MARCELLIN 1;99;Jarjayes;44.505224;6.106695;2;disponible
212369000000369431;BEAUCAIRE_SOCAF 1;100;Beaucaire;43.79232326863;4.6384212316;2;disponible
212369000000365575;ROUGIER_ECURIE DE LA SUPERNOVA;267;Rougiers;43.403631;5.848888;2;disponible
212369000000363197;BRAS D'ASSE_SCAI;172;Bras-d'Asse;43.928873;6.142387;2;disponible
212369000000356961;LE POET_MASSOT;-;LE POET;44.2575;5.9158;2;disponible
212369000000353299;NOVES_CHABANNE;100;NOVES;43.773786;5.437963;2;disponible
212369000000352945;LE THOR_BELLANDE;99;Le Thor;43.914906;5.006196;2;disponible
212369000000329017;LARDIER_ROBERT;394.82;LARDIER;44.439583;5.97405;2;disponible
212369000000327675;JARJAYES_COEUR 2;182.4;JARJAYES;44.512028;6.11525;2;disponible
212369000000323907;LE PUY_ARLAUD 18kW;18;Puy-Sainte-Réparade;43.655495;5.469224;2;disponible
212369000000323787;ST DIDIER EN BRIONNAIS_DSUN ENR 1_COGNARD_1518;300;St Didier en Brionnais;46.357703;4.112445;2;disponible
212369000000324019;VALENSOLE_BERENGER;99.9;Valensole;43.843142;5.976901;2;disponible
212369000000323019;PEGOMAS_COMPEX 1;500;Pégomas;43.571667043182146;6.939253484747341;2;disponible
212369000000322131;LES MEES_LCDA 2 TI + AC 15 kW;250;Les Mées;43.969080048361114;5.925781972208739;2;disponible
212369000000320779;CLUMANC_CLEMENT REMY 72kW;72;Clumanc;44.02297015511229;6.378245097043377;2;disponible
212369000000320755;CLUMANC_CLEMENT REMY 2 (27kW);27;Clumanc;44.023854;6.378173025936521;2;disponible
212369000000299483;ROGNES_COTS;36;Rognes;43.650848;5.338385;2;disponible
212369000000299443;ROGNES_BASTARD;188.73;ROGNES;43.651777;5.333011;2;disponible
212369000000296607;MANOSQUE_BERTRAND OLIVIER;99;manosque;43.805871;5.783823;2;disponible
212369000000295969;LES MEES_BROCHIER;160;LES MEES;43.990548;5.938792;2;disponible
212369000000295703;LAMBESC_ROCCHIA 1;100;LAMBESC;43.631975;5.270026;2;disponible
212369000000295417;LAMBESC_IMMOFEM;100;lambesc;43.645591;5.250901;2;disponible
212369000000292961;GAP_CLEMENT;100;GAP;44.569185;6.042559;2;disponible
212369000000289893;BEAUCAIRE_SOCAF 2;100;Beaucaire;43.792464;4.638923;2;disponible
212369000000290257;VILLELAURE_MARDERIC2;272.84;VILLELAURE;43.703688;5.434699;2;disponible
212369000000288843;SAULT_REYNARD PHILIPPE;99;SAULT;44.095225;5.449556;2;disponible
